EID,NAME,ADDR1,ADDR2,CITY,PHONE,EMAIL,DOB,DOJ
1001,RAMESH GUPTA,SECTOR 7,Rohini,DELHI,9999002727,RK@YAHOO.CO.IN,01/09/90,15/03/12
1002,Sandeep Sharma,SECTOR 2,PALAM,GURGAON,9567890010,SAM1@YAHOO.COM,15/09/95,15/03/12
1003,Rajesh Sharma,Sector 11,Dwarka,DELHI,9999001001,RSharma56@gmail.com,16/03/01,01/04/12
1004,Yogeshwar Sharma,Sector 11,Dwarka,DELHI,8899001001,YSharma@gmail.com,25/09/89,10/05/12
1005,Manoj Kumar,B320,Janakpuri,DELHI,9999912399,mKumar@gmail.com,01/07/85,07/11/12
1006,Rohit Gupta,A32/620 Main Road,Sector 56,GURGAON,8899001123,rgupta@gmail.com,31/03/92,10/05/12
1007,Kapil Sharma,Jay Maa Apartments Flat 32,Sector 72,PUNE,9999001099,kSharma@gmail.com,28/09/87,10/05/12
1008,Archna Sharma,5C Karanpur,NP Road,PUNE,9899249700,ASharma@gmail.com,10/05/85,01/01/13
1009,Ranjeeta Goyal,Flat No 6A,Rajpur Road,DEHRADUN,9999002700,rgoyal@gmail.com,31/12/89,10/02/13
1010,Komal Singh,Sector 64,Old Gurgaon Road,GURGAON,7285912349,ksing@gmail.com,31/03/90,10/05/13
1011,AMIT KAPOOR,B2/45 DDA FLATS,JANAKPURI,DELHI,989970701,RK2@GMAIL.COM,01/01/92,04/01/15
1012,MONIKA ARORA,B1/45,JANAKPURI,DELHI,999999234,MA@GMAIL.COM,01/01/82,04/01/15
1013,ROHAN KUMAR,B305,RAJOURI GARDEN,DELHI,9811098110,RK@GMAIL.COM,10/10/98,04/01/16
1014,RAJAT KUMAR,HNO-B205,SECTOR 62,NOIDA,9811098115,RAJATK@GMAIL.COM,10/10/98,04/01/16
1015,ABHISHEK SHARMA,C2-101,JANAKPURI,DELHI,9898989800,AB@GMAIL.COM,11/10/82,05/03/18
1019,RAJAT KAPOOR,B501/1 POCKET 1,JANAKPURI,DELHI,9899256570,RJT@YAHOO.CO.IN,11/10/83,01/03/18
1020,Rohan Kumar,B-256,RAJOURIGARDEN,DELHI,9898999987,RKUMAR@GMAIL.COM,10/10/89,02/01/17
1021,Lalit Sharma,C2-401,Janak Puri,DELHI,9898999989,ls@GMAIL.COM,12/10/89,02/01/17
1022,Monika Bajaj,DLF,Phase 5,GURGAON,9898101089,MBAJAJ@GMAIL.COM,12/10/92,02/01/16
1023,Devender Kapoor,E102/3 Pocket 1 Sector 3,Dwarka,DELHI,9899346907,dk@yahoo.co.in,10/10/82,25/02/18
1024,Ravinder Kumar,B302-Jay Maa Apt,Dwarka,DELHI,9899768756,rk@yahoo.com,10/10/85,10/10/18
1025,GAURAV GUPTA,D41-Jay Maa Apt,Dwarka,DELHI,9899768788,gk@yahoo.co.in,10/12/87,15/10/18
1026,David,M121/4,Vatika Tower,PUNE,9999999988,dd@gmail.com,17/12/87,16/10/18
1027,KONIKA KAPOOR,C2-431,SUPERTECH,PUNE,8888909970,KK@YAHOO.CO.IN,10/10/80,06/01/18
1028,RAJAT SHARMA,"SECTOR 11 , POCKET 2",ABCD,PUNE,9999999987,RS@GMAIL.COM,14/01/89,01/01/19
1029,ROHIT KAPOOR,450 DLF ,PHASE 2,GURGAON,8880008800,RS01@GMAIL.COM,10/10/88,03/04/17
1030,KONIKA SHARMA,DDA SFS FLAT,POCKET 2,PUNE,999900880,KS@YAHOO.CO.IN,10/10/90,03/04/17
1031,AVIKANT GUPTA,B-305 ,DLF PHASE 2,GURGAON,9999009876,AG30@GMAIL.COM,10/10/89,10/04/18
